,新版代碼,停靠列車次
0,1040,258
1,1030,166
2,1020,301
3,1010,170
4,1000,302
5,0990,296
6,0980,221
7,0970,165
8,0960,226
9,0950,164
10,0940,164
11,0930,257
12,0920,223
13,0910,112
14,0900,126
15,1210,295
16,1220,106
17,1230,106
18,1240,106
19,1250,168
20,2110,38
21,2120,38
22,2130,60
23,2140,38
24,2150,45
25,2160,38
26,2170,74
27,2180,74
28,2190,52
29,2200,87
30,2210,62
31,2220,84
32,2230,86
33,2240,63
34,2250,67
35,2260,63
36,3360,216
37,1050,127
38,1060,127
39,1070,145
40,1080,193
41,1090,132
42,1100,188
43,1110,128
44,1120,139
45,1130,119
46,1140,119
47,1150,132
48,1160,135
49,1170,119
50,1180,127
51,1190,202
52,3140,76
53,3150,76
54,3160,120
55,7336,32
56,7335,32
57,7334,32
58,7333,32
59,7332,33
60,7331,33
61,7330,79
62,7350,85
63,7360,131
64,7361,16
65,7362,16
66,7390,76
67,7380,78
68,3300,170
69,3470,140
70,4080,175
71,4220,210
72,4340,191
73,4400,191
74,5000,190
75,5120,68
76,5230,38
77,6000,75
78,6020,37
79,6070,42
80,6110,56
81,6200,12
82,7000,123
83,7210,88
84,1001,2
85,6010,15
86,6030,19
87,6040,15
88,6050,46
89,6060,12
90,6080,33
91,6090,15
92,6100,15
93,6160,39
94,6170,16
95,6180,39
96,6190,13
97,6210,17
98,6220,40
99,6230,13
100,6240,35
101,6250,40
102,5130,4
103,5140,4
104,5160,4
105,5190,29
106,5200,12
107,5210,22
108,5220,29
109,5240,11
110,6120,12
111,6130,43
112,6140,18
113,6150,12
114,7010,26
115,7020,19
116,7030,50
117,7040,20
118,7050,22
119,7060,34
120,7230,82
121,7220,53
122,7200,53
123,7190,144
124,7180,62
125,7160,138
126,7150,70
127,7140,61
128,7130,93
129,7110,20
130,7100,32
131,7090,46
132,7080,16
133,7070,16
134,3170,46
135,3180,50
136,3190,50
137,3210,46
138,3220,84
139,3230,146
140,3240,102
141,3250,109
142,3260,102
143,3270,102
144,3280,104
145,3290,102
146,3310,114
147,3320,121
148,3330,114
149,3340,123
150,3350,112
151,3370,79
152,3380,79
153,3390,149
154,3400,78
155,3410,85
156,3420,125
157,3430,121
158,3450,82
159,3460,75
160,3480,108
161,3490,77
162,4050,90
163,4060,96
164,4070,82
165,4090,76
166,4100,76
167,4110,76
168,4120,133
169,4130,75
170,4140,75
171,4150,86
172,4160,75
173,4170,121
174,4180,97
175,4190,101
176,4200,126
177,4210,110
178,4250,144
179,4260,144
180,4270,144
181,4290,76
182,4300,76
183,4310,103
184,4320,74
185,4330,86
186,4350,87
187,4360,87
188,4370,87
189,4380,87
190,4390,87
191,4410,86
192,4420,86
193,4430,86
194,4440,184
195,4450,86
196,4460,155
197,4470,86
198,5010,78
199,5020,78
200,5030,107
201,5040,78
202,5050,164
203,7290,67
204,7310,67
205,7240,39
206,7250,39
207,7260,39
208,7270,39
209,7280,39
210,7300,52
211,7320,46
212,7120,43
213,5060,32
214,5070,51
215,5080,32
216,5090,51
217,5100,32
218,5110,32
219,1194,70
220,1193,108
221,1192,86
222,1191,86
223,4272,70
224,4271,70
225,1201,38
226,1202,38
227,1203,38
228,1204,37
229,1205,37
230,1206,37
231,1207,37
232,1208,37
233,3435,23
234,3434,23
235,3433,23
236,3432,23
237,3431,23
238,3436,22
